name,latitude,longitude
Sheth Gokuldas Tejpal Sanskrit Pathshal,18.9625625,72.8088125
The Institution of Engineers,18.9790738,72.8150683
Mahalaxmi Station,18.9829104,72.8252205
"Rajarshi Shahu Sr. College Of Arts, Commerce And Science (CS & IT)",19.0452673,72.8662777
Aryan Junior college,19.0452656,72.8662933
UBS- Executive MBA,19.0455819,72.8659724
Anjuman Islam College,18.9618884,72.8258479
Chaudhari Communication,18.9620625,72.8253125
Anjuman-I-Islam's Akbar Peerbhoy College of Commerce & Economics,18.9622006,72.8260334
College Of Physicians & Surgeons Of Mumbai,18.9991424,72.8395481
Mahatma Phule College,19.0053542,72.8473575
SIES College of Commerce and Economics,19.0434069,72.866763
"B.G.P.S.' Mumbai College of Arts, Commerce & Science",19.0123804,72.8604813
J.K. College of Art Design | G.D. Art,19.012707,72.8611378
B.M. Ruia Girls' College,18.9596392,72.8103783
NAGRIK SHIKSHAN SANSTHA'S COLLEGE OF COMMERCE & ECONOMICS,18.9735244,72.8126822
N.s.s. College Of Pharmacy,18.9733788,72.8141363
Soham Classes - Best Science Class,19.0154375,72.8440625
GURU NANAK VIDYAK SOCIETY'S LAW COLLEGE,19.0353125,72.8645625
K. P. B. Hinduja College of Commerce,18.9529887,72.8185241
Premier Junior College of Commerce & Arts,19.021663,72.8385547
Pioneer Education Trust's Pioneer Junior College of Science,19.0237315,72.8390624
DSIFD MUMBAI,19.0138125,72.8426875
Navhind Jr College,19.0121444,72.8427186
Bhavani Shankar Road Junior College of Science,19.0170015,72.8329136
Montfort Junior College,19.0169174,72.8316102
Apex Chamber House,18.9334246,72.8329974
XTECHSOUND,19.0446762,72.8412699
Pace Junior Science College Dadar,19.0165625,72.8369375
"SIES College Of Arts, Science & Commerce (Autonomous)",19.0412952,72.8611248
Davar's College of Commerce,18.9318099,72.831868
"New Law College, Mumbai.",19.0280954,72.844566
"NKES Junior College of Arts, Science and Commerce",19.0219375,72.8591875
"NKES DEGREE COLLEGE OF ARTS, COMMERCE AND SCIENCE",19.0218125,72.8591875
sprintcart,19.0157894,72.824232
TRICKSHOT TURF dharavi sion,19.0513553,72.8630652
SNDT Women's University,19.0286052,72.8599215
MMP Shah College,19.028522,72.8597921
Dr. BMN College of Home Science,19.0285126,72.8598012
"Dr. T. K. Tope Arts & Commerce Night Senior College, Parel, Mumbai-12.",19.0040886,72.8402366
R. M. Bhatt college,19.0039157,72.840246
The Milind Night High School And Junior College,19.0031979,72.8406481
"Shree Dayanand Balak, Balika Vidyalay & Junior College",19.0269712,72.8518048
IHM Mumbai,19.023646,72.835865
